isbn,title,author,available_books,no_books_on_loan,LANGUAGE,edition,binding,book_type,subject_area,description
608826960,The Gaijin,Ivan Orkin,889,2,Japnese,1,Hardcover,Common,Food,Ideas to incorporate Japanese cookery in an otherwise Western style of cooking
616081851,Mirandas,Chelsea Fairless,15,0,English,1,Softcover,Rare,Celebrities,"When the City premiered, many were hesitant to identify as the Miranda of their social circle."
624115780,Voices from Chernobyl,Svetlana Alexievich,1098,3,English,1,Hardcover,Common,Chemistry,Presents personal accounts of what happened to the people of Belarus after the nuclear reactor accident
632494423,Nutcracker Night,Mireille Messier,319,1,English,1,Hardcover,Common,Children,The Nutcracker ballet and New York City’s David H. Koch Theater Commone to life in this onomatopoeic representation of a little girl’s experience at the ballet.
650044444,Nutcracker Night,Mireille Messier,362,0,English,1,Softcover,Common,Children,The Nutcracker ballet and New York City’s David H. Koch Theater Commone to life in this onomatopoeic representation of a little girl’s experience at the ballet.
652988816,Nutcracker Night,Mireille Messier,482,0,French,1,Hardcover,Common,Children,The Nutcracker ballet and New York City’s David H. Koch Theater Commone to life in this onomatopoeic representation of a little girl’s experience at the ballet.
661119047,Nutcracker Night,Mireille Messier,514,0,French,1,Softcover,Common,Children,The Nutcracker ballet and New York City’s David H. Koch Theater Commone to life in this onomatopoeic representation of a little girl’s experience at the ballet.
672612055,The Night Fire,Michael Connelly,552,1,English,1,Hardcover,Common,Fiction,"Back when Harry BoSoftcoverh was just a rookie homicide detective, he had an inspiring mentor who taught him to take the work personally and light the fire of relentlessness for every case."
675637992,Acid for the Children,Flea,778,1,English,1,Hardcover,Common,Music,"In Acid for the Children, Flea takes readers on a deeply personal and revealing tour of his formative"
732407110,Dreams of El Dorado,H. W. Brands,126,3,English,1,Hardcover,Common,History,A History of the American West
803986400,Dreams of El Dorado,H. W. Brands,117,1,Spanish,1,Hardcover,Common,History,A History of the American West
810193501,Moon Denver,Mindy Sink,108,0,English,1,Hardcover,Out of print,Geography,"Flexible itineraries, strategic advice for outdoor adventurers and Must-see highlights and unique experiences"
820103332,Six Sacred Swords,Andrew Rowe,50,0,English,1,Hardcover,Rare,Fantasy,"It doesn't take a legendary sword to make a legendary swordsman, but it certainly helps."
842222596,The Guardians,John Grisham,900,4,English,1,Hardcover,Common,Literature,"In this instant #1 New York Times bestseller, John Grisham delivers a classic legal thriller—with a twist."
842826100,Playing with Fire,Tess Gerritsen,25,0,English,1,Hardcover,Damaged,Fiction,A gripping standalone thriller by the New York Times bestselling author of the Rizzoli & Isles series
851814717,When We Believed,Barbara O'Neal,383,3,French,1,Softcover,Common,Fiction,Her sister has been dead for fifteen years when she sees her on the TV news…
857410685,Winter Cottage,Mary Ellen,162,0,English,1,Hardcover,Out of print,Fiction,A gripping novel about family secrets…and Commoning home for the first time.
863846680,Play Dirty,Sandra Brown,18,0,English,1,Hardcover,Lost,Fiction,Disgraced quarterback can never return to life as he knew it before he was caught cheating.
985558453,Once Night Falls,Roland Merullo,800,1,English,2,Hardcover,Common,History,"Italy, 1943. Luca Benedetto has joined the partisans in their fight against the German troops ravaging the shores of his town on Lake Commono."
